Final code,Family,Subfamily,Tribe,GENUS,SPECIES,taxon_name,taxon_name_original,taxname_source,Size_mm,Flightless,Feeding
COL361,CARABIDAE,PTEROSTICHINI,,Notonomus,metallicus,Notonomus metallicus,,AFD,15.5,0,PRE
COL273,CARABIDAE,PTEROSTICHINI,,Notonomus,minimus,Notonomus minimus,,AFD,9,1,PRE
COL272,CARABIDAE,PTEROSTICHINI,,Notonomus,resplendens,Notonomus resplendens,,AFD,20,1,PRE
COL553,CARABIDAE,PTEROSTICHINI,,Notonomus,variicollis,Notonomus variicollis,,AFD,19,1,PRE
COL039,STAPHYLINIDAE,OMALIINAE,,Phloeonemus,tasmanicus,,Phloeonomus tasmanicus,not_found,2.3,0,PRE?
COL343,CARABIDAE,PTEROSTICHINI,,Prosopogmus ,oodiformis ,Prosopogmus oodiformis,,AFD,8,0,PRE
COL086,PTINIDAE,PTININAE,,Ptinus,cupreoniger,Ptinus cupreoniger,,AFD,2.7,1,SAP
COL433,PTINIDAE,PTININAE,,Ptinus,egenus,Ptinus egenus,,AFD,3.1,0,SAP
COL534,CURCULIONIDAE,CURCULIONINAE,ATERPINI,Rhinaria,tibialis,Rhinaria tibialis,,AFD,9.5,0,PHY
COL519,LUCANIDAE,SYNDESINAE,,Syndesus,cornutus,Syndesus cornutus,,AFD,8.8,0,XYL
COL244,NITIDULIDAE,NITIDULINAE,,Thalycrodes,australe,Thalycrodes pulchrum,Thalycrodes australe,AFD,3.3,0,MYC
COL089,NITIDULIDAE,NITIDULINAE,,Thalycrodes,cylindricus,Thalycrodes cylindricum,Thalycrodes cylindricus,AFD,2.7,0,MYC
COL090,NITIDULIDAE,NITIDULINAE,,Thalycrodes,pulchrum,Thalycrodes pulchrum,,AFD,2.7,0,MYC
COL412,STAPHYLINIDAE,STAPHYLININAE,,Thyreocephalus,lorquini ,Thyreocephalus lorquini,,AFD,15,0,PRE
COL678,MYCETOPHAGIDAE,,,Typhaea,stercorea,Typhaea stercorea,,AFD,2.7,0,MYC
COL113,CURCULIONIDAE,SCOLYTINAE,,Xyleborinus ,solidus ,,Xyleborinus solidus,not_found,3.9,0,XYL-MYC
COL254,CURCULIONIDAE,SCOLYTINAE,,Xyleborus,compressus,,Xyleborus compressus,not_found,3.3,0,XYL-MYC
COL378,BOSTRICHIDAE,,,Xylion,collaris,Xylion collaris,,AFD,5.5,0,XYL
COL570,PTILIIDAE,,,Acrotrichis,,,Acrotrichis COL570,,0.6,0,MYC
COL103,TENEBRIONIDAE,LAGRIINAE,,Adelium,,,Adelium COL103,,15.5,1,SAP
COL348,TENEBRIONIDAE,LAGRIINAE,,Adelium,,,Adelium COL348,,11.5,1,SAP
COL634,CRYPTOPHAGIDAE,,,Agnetaria,,,Agnetaria COL634,,,,MYC
B350,SILVANIDAE,,,Ahasverus,,,Ahasverus B350,,,,MYC?
B152,STAPHYLINIDAE,ALEOCHARINAE,,Aleochara,,,Aleochara B152,,,0,PRE
B363,STAPHYLINIDAE,ALEOCHARINAE,,Aleochara,,,Aleochara B363,,,0,PRE
COL041,STAPHYLINIDAE,ALEOCHARINAE,,Aleochara,,,Aleochara COL041,,4,0,PRE
B068,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B068,,,0,PRE
B083,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B083,,,0,PRE
B105,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B105,,,0,PRE
B126,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B126,,,0,PRE
B156,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B156,,,0,PRE
B158,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B158,,,0,PRE
B165,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B165,,,0,PRE
B171,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B171,,,0,PRE
B260,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B260,,,0,PRE
B283,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B283,,,0,PRE
B288,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B288,,,0,PRE
B303,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B303,,,0,PRE
B314,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B314,,,0,PRE
B360,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae B360,,,0,PRE
COL054,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL054,,1.3,0,PRE
COL055,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL055,,2,0,PRE
COL058,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL058,,1.8,0,PRE
COL059,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL059,,,0,PRE
COL060,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL060,,2.1,0,PRE
COL061,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL061,,1.4,0,PRE
COL063,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL063,,1.2,0,PRE
COL313,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL313,,2.7,0,PRE
COL655,STAPHYLINIDAE,ALEOCHARINAE,,,,,Aleocharinae COL655,,1.6,0,PRE
B414,CERAMBYCIDAE,CERAMBYCINAE,,Ambeodontus,sp.,,Ambeodontus sp. B414,,,,XYL
B354,PTINIDAE,ANOBIINAE,,,,,Anobiinae B354,,,0,XYL
B362,PTINIDAE,ANOBIINAE,,,,,Anobiinae B362,,,0,XYL
COL296,ANTHICIDAE,,,Anthicus ,,,Anthicus COL296,,1.9,0,SAP
COL443,ANTHICIDAE,,,Anthicus ,,,Anthicus COL443,,,0,SAP
COL201,CORYLOPHIDAE,CORYLOPHINAE,PARMULINI,Arthrolips,,,Arthrolips COL201,,1.1,0,MYC
COL202,CORYLOPHIDAE,CORYLOPHINAE,PARMULINI,Arthrolips,,,Arthrolips COL202,,1.1,0,MYC
B207,STAPHYLINIDAE,PSELAPHINAE,CLAVIGERINI,Articerus,,,Articerus B207,,,0,PRE
B344,STAPHYLINIDAE,CLAVIGERINAE,,Articerus,,,Articerus B344,,,0,PRE
