original_name,updated_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Hibbertia,Hibbertia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Hibbertia linearis,Hibbertia linearis,TRUE,TRUE,1.395349,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Hibbertia scandens,Hibbertia scandens,TRUE,TRUE,1,NA,5--10,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Hibiscus,Hibiscus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Hibiscus rhodopetalus,Abelmoschus moschatus subsp. tuberosus,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Hibiscus tiliaceus,Hibiscus tiliaceus,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Hovea montana,Hovea montana,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Hymenosporum flavum,Hymenosporum flavum,TRUE,FALSE,NA,NA,10--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Hypocalymma angustifolium,Hypocalymma angustifolium,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Hypochaeris glabra,Hypochaeris glabra,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Hypochaeris radicata,Hypochaeris radicata,NA,NA,1,NA,NA,0.1937984496,1,NA,NA,0.2,NA,NA,0.2,0.2,0.2
Isopogon anemonifolius,Isopogon anemonifolius,TRUE,TRUE,2,NA,5--20,1.744186047,NA,0.2,0.2,0.2,NA,1,0.2,NA,0.2759459323
Jacksonia,Jacksonia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Jacksonia scoparia,Jacksonia scoparia,TRUE,TRUE,4,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Juncus,Juncus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Kennedia prorepens,Kennedia prorepens,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Kennedia rubicunda,Kennedia rubicunda,TRUE,TRUE,0.6782946,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Kunzea,Kunzea,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Kunzea ambigua,Kunzea ambigua,FALSE,NA,1.879845,NA,1--5,NA,NA,1,NA,0.2,NA,0.2,NA,NA,0.3419951893
Kunzea ericoides,Kunzea ericoides,TRUE,TRUE,2,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Kunzea muelleri,Kunzea muelleri,TRUE,TRUE,5,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Lambertia formosa,Lambertia formosa,TRUE,TRUE,2,NA,NA,1.375968992,2,0.2,0.2,0.2,NA,NA,0.2,0.2,0.2
Lantana camara,Lantana camara,NA,NA,NA,NA,0--5,0.3100775194,NA,NA,NA,NA,NA,0.2,0.2,NA,0.2
Leptomeria acida,Leptomeria acida,TRUE,TRUE,3,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Leptomeria preissiana,Leptomeria preissiana,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Leptorhynchos squamatus,Leptorhynchos squamatus,TRUE,FALSE,1,NA,1--5,NA,1,0.2,1,0.2,NA,0.2,NA,0.2,0.2759459323
Leptorhynchos squamatus subsp. squamatus,Leptorhynchos squamatus subsp. squamatus,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Leptorhynchos tenuifolius,Leptorhynchos tenuifolius,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Leptospermum,Leptospermum,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Leptospermum attenuatum,Leptospermum trinervium,TRUE,TRUE,1,NA,1--5,0.3294573643,0.5,0.2,0.2,0.2,NA,0.2,0.2,0.2,0.2
Leptospermum brachyandrum,Leptospermum brachyandrum,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Leptospermum brevipes,Leptospermum brevipes,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Leptospermum continentale,Leptospermum continentale,TRUE,TRUE,2,NA,1--5,NA,2,0.2,0.2,0.2,NA,0.2,NA,0.2,0.2
Leptospermum coriaceum,Leptospermum coriaceum,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Leptospermum ericoides,Kunzea ericoides,TRUE,TRUE,2,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
