original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name,aligned_reason,update_reason,number_of_collapsed_taxa
Cassinia uncata,Cassinia uncata,Cassinia uncata,Cassinia uncata [alternative possible names: Cassinia x adunca (pro parte misapplied) | Cassinia complanata (pro parte misapplied) | Cassinia diminuta (pro parte misapplied) | Cassinia hewsoniae (pro parte misapplied) | Cassinia maritima (pro parte misapplied) | Cassinia monticola (pro parte misapplied) | Cassinia nivalis (pro parte misapplied) | Cassinia tegulata (pro parte misapplied) | Cassinia thinicola (pro parte misapplied) | Cassinia wilsoniae (pro parte misapplied) | Cassinia hewsoniae (misapplied)],Cassinia,species,APC,accepted,Cassinia uncata A.Cunn. ex DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Casuarina,Casuarina sp. [Casuarina],NA,Casuarina sp. [Casuarina],Casuarina,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Casuarina cristata,Casuarina cristata,Casuarina cristata,Casuarina cristata,Casuarina,species,APC,accepted,Casuarina cristata Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina cunninghamiana,Casuarina cunninghamiana,Casuarina cunninghamiana,Casuarina cunninghamiana,Casuarina,species,APC,accepted,Casuarina cunninghamiana Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina cunninghamiana subsp. cunninghamiana,Casuarina cunninghamiana subsp. cunninghamiana,Casuarina cunninghamiana subsp. cunninghamiana,Casuarina cunninghamiana subsp. cunninghamiana,Casuarina,subspecies,APC,accepted,Casuarina cunninghamiana Miq. subsp. cunninghamiana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina equisetifolia,Casuarina equisetifolia,Casuarina equisetifolia,Casuarina equisetifolia,Casuarina,species,APC,accepted,Casuarina equisetifolia L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina glauca,Casuarina glauca,Casuarina glauca,Casuarina glauca,Casuarina,species,APC,accepted,Casuarina glauca Sieber ex Spreng.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina nana,Casuarina nana,Allocasuarina nana,Allocasuarina nana,Allocasuarina,species,APC,accepted,Allocasuarina nana (Sieber ex Spreng.) L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Casuarina obesa,Casuarina obesa,Casuarina obesa,Casuarina obesa,Casuarina,species,APC,accepted,Casuarina obesa Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina pauper,Casuarina pauper,Casuarina pauper,Casuarina pauper,Casuarina,species,APC,accepted,Casuarina pauper F.Muell. ex L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Casuarina suberosa,Casuarina suberosa,Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina,species,APC,accepted,Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Casuarinaceae,Casuarinaceae sp. [Casuarinaceae],NA,Casuarinaceae sp. [Casuarinaceae],NA,family,APC,family accepted,NA,Exact match of the first word of the taxon name to an APC-accepted family (2023-09-15),NA,NA
Celmisia,Celmisia sp. [Celmisia],NA,Celmisia sp. [Celmisia],Celmisia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Celmisia costiniana,Celmisia costiniana,Celmisia costiniana,Celmisia costiniana,Celmisia,species,APC,accepted,Celmisia costiniana M.Gray & Given,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Celmisia longifolia,Celmisia longifolia,Celmisia longifolia,Celmisia longifolia,Celmisia,species,APC,accepted,Celmisia longifolia Cass.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ceratopetalum,Ceratopetalum sp. [Ceratopetalum],NA,Ceratopetalum sp. [Ceratopetalum],Ceratopetalum,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Ceratopetalum apetalum,Ceratopetalum apetalum,Ceratopetalum apetalum,Ceratopetalum apetalum,Ceratopetalum,species,APC,accepted,Ceratopetalum apetalum D.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ceratopetalum gummiferum,Ceratopetalum gummiferum,Ceratopetalum gummiferum,Ceratopetalum gummiferum,Ceratopetalum,species,APC,accepted,Ceratopetalum gummiferum Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ceriops tagal,Ceriops tagal,Ceriops tagal,Ceriops tagal,Ceriops,species,APC,accepted,Ceriops tagal (Perr.) C.B.Rob.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Chamaecytisus prolifer,Chamaecytisus prolifer,Chamaecytisus palmensis,Chamaecytisus palmensis,Chamaecytisus,species,APC,accepted,Chamaecytisus palmensis (Christ) F.A.Bisby & K.W.Nicholls,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),misapplied,NA
Chamelaucium,Chamelaucium sp. [Chamelaucium],NA,Chamelaucium sp. [Chamelaucium],Chamelaucium,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Chamelaucium uncinatum,Chamelaucium uncinatum,Chamelaucium uncinatum,Chamelaucium uncinatum,Chamelaucium,species,APC,accepted,Chamelaucium uncinatum Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
